Question Number,Year,Question,Option 1,Option 2,Option 3,Option 4,Correct Option,Detailed Explanation,Difficulty,Sub Subject,Topic
11,2025,"Consider the following statements:

I. Panchayats at the intermediate level exist in all States.

II. To be eligible to be a Member of a Panchayat at the intermediate level, a person should attain the age of thirty years.

III. The Chief Minister of a State constitutes a commission to review the financial position of Panchayats at the intermediate levels and to make recommendations regarding the distribution of net proceeds of taxes and duties, leviable by the State, between the State and Panchayats at the intermediate level.

Which of the statements given above are not correct?",a. I and II only,b. II and III only,c. I and III only,"d. I, II and III",d,"Structure: It mandates a three-tier system (Village, Intermediate/Block, and District). However, states with a population under 20 lakhs are exempt from creating the intermediate level.

Age Eligibility: The minimum age to become a Panchayat member is 21 years (not 30).

State Finance Commission: To review the financial health of the Panchayats, a State Finance Commission must be formed every five years by the Governor of the state (not the Chief Minister).",Easy,Polity,"Local government: Panchayati Raj, Municipalities"
12,2025,"Consider the following statements about Lokpal:

I. The power of Lokpal applies to public servants of India, but not to the Indian public servants posted outside India.

II. The Chairperson or a Member shall not be a Member of the Parliament or a Member of the legislature of any State or Union Territory and only the Chief Justice of India, whether incumbent or retired, has to be its Chairperson.  

III. TThe Chairperson or a Member shall not be a person of less than forty-five years of age on the date of assuming office as the Chairperson or Member, as the case may be.  

IV. Lokpal cannot inquire into the allegations of corruption against a sitting Prime Minister of India.

Which of the statements given above is/are correct?",a. III only,b. II and III,c. I and IV,d. None of the above statements is correct,a,"The Lokpal and Lokayuktas Act, 2013 provides for the establishment of the Lokpal at the Union level to inquire into allegations of corruption against specified public functionaries.

Statement 1 is incorrect: The provisions of the Lokpal and Lokayuktas Act, 2013 apply to public servants both within and outside India. Therefore, the Lokpal has jurisdiction over public servants irrespective of whether they are posted domestically or abroad.

Statement 2 is incorrect: As per Section 3 of the Lokpal Act, the Chairperson or a Member of the Lokpal cannot be a Member of Parliament or a member of the Legislature of any State or Union Territory. Further, the Lokpal consists of a Chairperson who is or has been the Chief Justice of India, a Judge of the Supreme Court, or an eminent person meeting the prescribed criteria.

Statement 3 is correct: Section 3 of the Lokpal Act specifies that a person must be at least forty-five years of age on the date of assuming office as the Chairperson or a Member of the Lokpal.

Statement 4 is incorrect: Under Section 14 of the Act, the Lokpal’s jurisdiction extends to a person who is or has been the Prime Minister. However, certain matters are exempt from inquiry, including those related to international relations, external and internal security, public order, atomic energy, and space. Additionally, an inquiry against the Prime Minister can only be initiated if a full bench of the Lokpal, comprising the Chairperson and all Members, considers the matter and at least two-thirds of the Members approve the initiation of such an inquiry.",Medium,Polity,Statutory bodies
13,2025,"Consider the following statements with regard to pardoning power of the President of India:

I. The exercise of this power by the President can be subjected to limited judicial review.

II. The President can exercise this power without the advice of the Central Government.


Which of the statements given above is/are correct?",(a) Only I,(b) Only II,(c) Both I and II,(d) Neither I nor II,(a),"Statement I is correct: The pardoning power of the President is subject to limited judicial review. Courts may examine its exercise on specific grounds such as mala fide intent, arbitrariness, or consideration of irrelevant factors, as established in cases like Kehar Singh and Epuru Sudhakar.

Statement II is incorrect: The President cannot exercise pardoning powers independently. Under Article 74 of the Constitution, this power is exercised on the aid and advice of the Council of Ministers.",Easy,Polity,Union and State Executive
14,2025,"Consider the following statements:

I. On the dissolution of the House of the People, the Speaker shall not vacate his/her office until immediately before the first meeting of the House of the People after the dissolution.   

II. According to the provisions of the Constitution of India, a Member of the House of the People on being elected as Speaker shall resign from his/her political party immediately.   

III. The Speaker of the House of the People may be removed from his/her office by a resolution of the House of the People passed by a majority of all the then Members of the House, provided that no resolution shall be moved unless at least fourteen days’ notice has been given.   

Which of the statements given above are correct?",a. I and II only,b. II and III only,c. I and III only,"d. I, II and III",c,"Statement I: Correct

Under Article 94 of the Constitution, the Speaker of the Lok Sabha continues in office even after the dissolution of the House and vacates office only immediately before the first meeting of the newly constituted Lok Sabha. This ensures institutional continuity.

Statement II: Incorrect

The Constitution does not require the Speaker to resign from their political party upon election. Although the office demands impartiality and neutrality, resignation from party membership is not constitutionally mandated and remains only a convention in some parliamentary systems


Statement III: Correct

As per Article 94, the Speaker may be removed through a resolution passed by a majority of all the then members of the House, provided that at least fourteen days’ prior notice is given


Therefore, Statements I and III are correct.",Easy,Polity,Parliament and State Legislatures
15,2025,"Consider the following statements:

I. If any question arises as to whether a Member of the House of the People has become subject to disqualification under the 10th Schedule, the President’s decision in accordance with the opinion of the Council of Union Ministers shall be final.

II. There is no mention of the word ‘political party’ in the Constitution of India.

Which of the statements given above is/are correct?",a. I only,b. II only,c. Both I and II,d. Neither I nor II,d,"Statement I: Incorrect

Under the Tenth Schedule, the authority to decide questions of disqualification on grounds of defection lies with the Speaker of the Lok Sabha or the Chairman of the Rajya Sabha/Legislative Council, as the case may be. Neither the President nor the Union Council of Ministers has any role in this decision-making process.

Statement II: Incorrect

The term ‘political party’ is explicitly mentioned in the Tenth Schedule of the Constitution and forms a central basis for provisions relating to disqualification on grounds of defection.

Therefore, neither statement is correct.",Medium,Polity,"Election, Anti-Defection"
16,2025,"Consider the following statements:

Statement I: In India, State Governments have no power for making rules for grant of concessions in respect of extraction of minor minerals even though such minerals are located in their territories.   
Statement II: In India, the Central Government has the power to notify minor minerals under the relevant law.

Which one of the following is correct in respect of the above statements?",a. Both Statement I and Statement II are correct and Statement II explains Statement I,b. Both Statement I and Statement II are correct but Statement II does not explain Statement I,c. Statement I is correct but Statement II is not correct,d. Statement I is not correct but Statement II is correct,d,"Statement I: Incorrect

Under the Tenth Schedule, the authority to decide questions of disqualification on grounds of defection lies with the Speaker of the Lok Sabha or the Chairman of the Rajya Sabha/Legislative Council, as the case may be. Neither the President nor the Union Council of Ministers has any role in this decision-making process.

Statement II: Incorrect

The term ‘political party’ is explicitly mentioned in the Tenth Schedule of the Constitution and forms a central basis for provisions relating to disqualification on grounds of defection.

Therefore, neither statement is correct.",Hard,Polity,Centre-State relations
17,2025,"Which of the following statements with regard to recommendations of the 15th Finance Commission of India are correct?

I. It has recommended grants of Rs 4,800 crores from the year 2022-23 to the year 2025-26 for incentivizing States to enhance educational outcomes.

II. 45 % of the net proceeds of Union taxes are to be shared with States.

III. 45,000 crores are to be kept as performance-based incentive for all States for carrying out agricultural reforms.

IV. It reintroduced tax effort criteria to reward fiscal performance.","(a) I, II and III","(b) I, II and IV","(c) I, III and IV","(d) II, III and IV",(c),"The 15th Finance Commission made several recommendations to strengthen fiscal discipline, improve educational outcomes, encourage agricultural reforms, and revise tax devolution among states.

Statement I: Correct
The Commission recommended an allocation of ₹4,800 crore for the period 2022–23 to 2025–26 as performance-based incentives for states to improve educational outcomes.

Statement II: Incorrect
The 15th Finance Commission recommended that 41% of the net proceeds of Union taxes be devolved to states, and not 45%.

Statement III: Correct
The Commission proposed a performance-based incentive of ₹45,000 crore to encourage states to undertake agricultural reforms.

Statement IV: Correct
The Commission reintroduced the ‘tax effort’ criterion in horizontal devolution to reward states that demonstrate stronger revenue mobilization relative to their Gross State Domestic Product (GSDP).

Therefore, Statements I, III, and IV are correct.",Hard,Polity,Constitutional bodies
18,2025,"With reference to the Indian polity, consider the following statements:

I. An Ordinance can amend any Central Act.

II. An Ordinance can abridge a Fundamental Right.

III. An Ordinance can come into effect from a back date.

Which of the statements given above are correct?",(a) I and II only,(b) II and III only,(c) I and III only,"(d) I, II and III",(c),"An Ordinance is a temporary law promulgated by the President under Article 123 or by the Governor under Article 213 when the legislature is not in session. It carries the same force and effect as an Act of the legislature but remains subject to constitutional limitations.

Statement I: Correct
An Ordinance can amend or repeal an existing Central Act in the same manner as a law enacted by Parliament, provided it remains within constitutional boundaries.

Statement II: Incorrect
An Ordinance cannot abridge or take away Fundamental Rights, as Article 13(2) prohibits the State from making any law that infringes Fundamental Rights. Any such provision would be unconstitutional and void.

Statement III: Correct
An Ordinance may be given retrospective effect, meaning it can operate from a date prior to its promulgation, similar to an Act of Parliament.

Therefore, Statements I and III are correct.",Medium,Polity,Union and State Executive
19,2025,"Consider the following pairs:

State - Description

1. Arunachal Pradesh - The capital is named after a fort, and the State has two National Parks

2. Nagaland - The State came into existence on the basis of a Constitutional Amendment Act

3. Tripura - Initially a Part ‘C’ State, it became a centrally administered territory in 1956, and later attained full statehood

How many of the above pairs are correctly matched?",(a) Only one,(b) Only two,(c) All the three,(d) None,(c),"Pair I: Arunachal Pradesh – Correct
Itanagar, the capital of Arunachal Pradesh, derives its name from the historic Ita Fort. The state is home to two National Parks - Namdapha National Park and Mouling National Park.

Pair II: Nagaland – Correct
Nagaland attained statehood on 1 December 1963 through the State of Nagaland Act, 1962, following constitutional provisions for its creation as a separate state.

Pair III: Tripura – Correct
Tripura was initially classified as a Part ‘C’ State. It became a Union Territory in 1956 and was subsequently granted full statehood in 1972.

Therefore, all three pairs are correctly matched.",Hard,Polity,Union & its Territory
20,2025,"With reference to India, consider the following bodies:

I. The Inter-State Council

II. The National Security Council

III. The Zonal Councils


How many of the above were established as per the provisions of the Constitution of India?",(a) Only one,(b) Only two,(c) All three,(d) None,(a),"Among the given bodies, only the Inter-State Council is a constitutional body. The remaining institutions have been created through executive or statutory provisions.

I. Inter-State Council – Correct

The Inter-State Council is established under Article 263 of the Constitution of India to promote coordination and cooperation between the Centre and States on matters of common interest.

II. National Security Council – Incorrect

The National Security Council was constituted in 1998 through an executive order and is not a constitutional body.

III. Zonal Councils – Incorrect

Zonal Councils were established under the States Reorganisation Act, 1956. They are statutory bodies and are not provided for in the Constitution.

Therefore, only Statement I is correct.",Easy,Polity,Inter-State Council
21,2025,"Consider the following statements regarding constitutional provisions in India:

I. The Constitution of India explicitly mentions situations where the Governor of a State can act in his/her discretion.

II. The President of India can, on his/her own, reserve a Bill passed by a State Legislature for consideration, even without it being forwarded by the Governor of the concerned State.


Which of the above statements is/are correct?",(a) I only,(b) II only,(c) Both I and II,(d) Neither I nor II,(a),"The Constitution provides the Governor with discretionary powers in certain specified situations, but it does not empower the President to independently intervene in the legislative process of a State without the Governor’s involvement.

Statement I: Correct
The Governor may act at their discretion in specific circumstances, such as reserving a bill for the consideration of the President under Article 200 or appointing a Chief Minister in the event of a hung assembly. Further, Article 163(2) provides that the Governor’s decision regarding matters requiring discretion shall be final.

Statement II: Incorrect
The President cannot independently reserve or call for a State bill. Under Article 200, only the Governor has the authority to reserve a State bill for the consideration of the President.

Therefore, Statement I is correct, while Statement II is incorrect.",Medium,Polity,Union and State Executive
22,2025,"Consider the following pairs:

Provision in the Constitution of India - Stated under

I. Separation of Judiciary from the Executive in public services of the State   - Directive Principles of state Policy

II. Valuing and preserving the rich heritage of our composite culture  - Fundamental Duties

III. Prohibition of employment of children below the age of 14 years in factories  - Fundamental Rights


How many of the above pairs are correctly matched?",a. Only one,b. Only two,c. All three,d. None,c,"Each of the following constitutional provisions is correctly matched with its respective part of the Constitution of India.

Pair I: Directive Principles of State Policy – Correct
Article 50 directs the State to take steps to separate the judiciary from the executive in the public services of the State. It forms part of the Directive Principles of State Policy (Part IV).

Pair II: Fundamental Duties – Correct
Article 51A(f) provides that it shall be the duty of every citizen to value and preserve the rich heritage of India’s composite culture. It is included under Fundamental Duties (Part IVA).

Pair III: Fundamental Rights – Correct
Article 24 prohibits the employment of children below the age of 14 years in factories, mines, or other hazardous occupations. This provision falls under Fundamental Rights (Part III).

Therefore, all three pairs are correctly matched.",Easy,Polity,Directive Principles
23,2025,"Consider the following statements regarding Scheduled Areas under the Fifth Schedule of the Indian Constitution:

I. If an area in a State is declared as a Scheduled Area under the Fifth Schedule, the State Government loses its executive power, and a local body assumes total administration of such areas.  

II. The Union Government can take over total administration of such areas under certain circumstances on the recommendation of the Governor.  

Which of the above statements is/are correct?",(a) I only,(b) II only,(c) Both I and II,(d) Neither I nor II,(d),"Statement I: Incorrect

Declaring an area as a Scheduled Area does not remove the executive authority of the State Government. The administration of such areas continues to remain with the State Government, while the Governor exercises special responsibilities as a constitutional custodian under the Fifth Schedule. The Tribes Advisory Council (TAC) also plays an advisory role in matters concerning the welfare and advancement of Scheduled Tribes.

Statement II: Incorrect

Under Paragraph 3 of the Fifth Schedule, the executive power of the Union extends only to issuing directions to a State regarding the administration of Scheduled Areas. The Constitution does not provide for a complete or automatic takeover of administration of Scheduled Areas by the Union Government.

Therefore, both Statements I and II are incorrect.",Medium,Polity,Schedules
24,2025,"With reference to India, consider the following pairs:

Organization - Union Ministry

I. The National Automotive Board - Ministry of Commerce and Industry

II. The Coir Board - Ministry of Heavy Industries

III. The National Centre for Trade Information - Ministry of Micro, Small and Medium Enterprises (MSME)


How many of the above pairs are correctly matched?",a. Only one,b. Only two,c. All three,d. None,d,"The given institutions are incorrectly matched with their respective nature or ministry affiliations.

Pair I: National Automotive Board – Incorrect
The National Automotive Board (NAB) functions under the Ministry of Heavy Industries and was constituted following Cabinet approval in October 2012 and registered under the Societies Registration Act in August 2013. It serves as a single platform for matters relating to the automotive sector, including testing, certification, homologation, and administration of automotive laboratories. Therefore, if matched incorrectly in the question, this pair is incorrect.

Pair II: Coir Board – Incorrect
The Coir Board functions under the Ministry of Micro, Small and Medium Enterprises (MSME) and is a statutory body established under the Coir Industry Act, 1953 for the promotion and development of the coir industry and export of coir products. Hence, any incorrect classification would make this pair incorrect.

Pair III: National Centre for Trade Information – Incorrect
The National Centre for Trade Information (NCTI) operates under the Ministry of Commerce and was jointly promoted by the India Trade Promotion Organisation (ITPO) and the National Informatics Centre (NIC) to facilitate dissemination of trade-related information. Therefore, if mismatched in the question, this pair is also incorrect.

Therefore, Pairs 1, 2, and 3 are incorrectly matched.",Hard,Polity,Miscellaneous & Current Affairs
